year,area_ha,total_biomass_mg,carbon_mgc,co2e_mgco2e,carbon_ggc,co2e_ggco2e,cumulative_gain_co2e_ggco2e,cumulative_gain_area_ha,net_co2e_total_ggco2e
2001,1399.68,23351.92,10975.4,40243.14,10.9754,40.24314,507.9661296235826,5807.969999999999,882.37586
2002,1893.06,55526.13,26097.28,95690.02,26.097279999999998,95.69002,507.9661296235826,5807.969999999999,882.37586
2003,1635.93,36916.31,17350.67,63619.11,17.350669999999997,63.61911,507.9661296235826,5807.969999999999,882.37586
2004,208.71,13418.75,6306.81,23124.98,6.3068100000000005,23.12498,507.9661296235826,5807.969999999999,882.37586
2005,3460.59,106148.12,49889.62,182928.59,49.88962,182.92858999999999,507.9661296235826,5807.969999999999,882.37586
2006,822.15,27632.85,12987.44,47620.62,12.987440000000001,47.62062,507.9661296235826,5807.969999999999,882.37586
2007,789.66,54807.15,25759.36,94450.99,25.75936,94.45099,507.9661296235826,5807.969999999999,882.37586
2008,1729.35,71528.7,33618.49,123267.79,33.61849,123.26778999999999,507.9661296235826,5807.969999999999,882.37586
2009,787.32,47149.08,22160.07,81253.58,22.16007,81.25358,507.9661296235826,5807.969999999999,882.37586
2010,732.15,48455.98,22774.31,83505.8,22.77431,83.50580000000001,507.9661296235826,5807.969999999999,882.37586
2011,96.21,7130.51,3351.34,12288.25,3.35134,12.28825,507.9661296235826,5807.969999999999,882.37586
2012,771.48,32264.14,15164.15,55601.88,15.16415,55.601879999999994,507.9661296235826,5807.969999999999,882.37586
2013,538.83,24732.4,11624.23,42622.17,11.624229999999999,42.62217,507.9661296235826,5807.969999999999,882.37586
2014,1809.63,76144.0,35787.68,131221.49,35.78768,131.22149,507.9661296235826,5807.969999999999,882.37586
2015,80.28,3989.6,1875.11,6875.41,1.8751099999999998,6.87541,507.9661296235826,5807.969999999999,882.37586
2016,185.04,16634.19,7818.07,28666.26,7.81807,28.666259999999998,507.9661296235826,5807.969999999999,882.37586
2017,313.92,12537.41,5892.58,21606.13,5.89258,21.60613,507.9661296235826,5807.969999999999,882.37586
2018,120.06,8196.06,3852.15,14124.54,3.85215,14.124540000000001,507.9661296235826,5807.969999999999,882.37586
2019,197.73,15065.13,7080.61,25962.25,7.08061,25.96225,507.9661296235826,5807.969999999999,882.37586
2020,1425.69,92100.47,43287.22,158719.82,43.28722,158.71982,507.9661296235826,5807.969999999999,882.37586
2021,137.43,8232.52,3869.29,14187.38,3.86929,14.18738,507.9661296235826,5807.969999999999,882.37586
2022,99.0,6796.0,3194.12,11711.77,3.19412,11.71177,507.9661296235826,5807.969999999999,882.37586
2023,97.56,6185.03,2906.96,10658.87,2.90696,10.65887,507.9661296235826,5807.969999999999,882.37586
2024,170.82,11832.39,5561.22,20391.15,5.5612200000000005,20.391150000000003,507.9661296235826,5807.969999999999,882.37586
