year,scenario,economic_damage_usd,projected_loss_ha,carbon_damage_usd,dredging_damage_usd,habitat_damage_usd
2024,Conservation (Best Case),0.0,,,,
2024,Business-As-Usual,0.0,,,,
2024,Escalation (Worst Case),0.0,,,,
2030,Conservation (Best Case),197900830.74,6630.4,108390565.74,9945585.0,79564680.0
2040,Conservation (Best Case),214476805.74,6630.4,108390565.74,26521560.0,79564680.0
2050,Conservation (Best Case),231052780.74,6630.4,108390565.74,43097535.0,79564680.0
2060,Conservation (Best Case),247628755.74,6630.4,108390565.74,59673510.0,79564680.0
2030,Business-As-Usual,747857275.96,25055.9,409602490.96,37583865.0,300670920.0
2040,Business-As-Usual,1700838828.81,52580.2,859556268.81,210320640.0,630961920.0
2050,Business-As-Usual,1832289228.81,52580.2,859556268.81,341771040.0,630961920.0
2060,Business-As-Usual,1963739628.81,52580.2,859556268.81,473221440.0,630961920.0
2030,Escalation (Worst Case),747857275.96,25055.9,409602490.96,37583865.0,300670920.0
2040,Escalation (Worst Case),1700838828.81,52580.2,859556268.81,210320640.0,630961920.0
2050,Escalation (Worst Case),2788317898.17,80014.8,1308044653.17,520096005.0,960177240.0
2060,Escalation (Worst Case),2988354823.17,80014.8,1308044653.17,720132930.0,960177240.0
